store_id,timezone_str
6.1426E+18,America/Denver
6.1426E+18,America/Denver
6.1426E+18,America/Denver
2.86308E+18,America/Denver
2.86308E+18,America/Denver
3.16069E+18,America/Denver
3.16069E+18,America/Denver
3.16069E+18,America/Denver
3.16069E+18,America/Denver
3.16069E+18,America/Denver
6.58882E+18,America/Denver
6.58882E+18,America/Denver
6.58882E+18,America/Denver
6.58882E+18,America/Denver
6.58882E+18,America/Denver
6.58882E+18,America/Denver
6.58882E+18,America/Denver
8.0366E+17,America/Denver
8.0366E+17,America/Denver
8.0366E+17,America/Denver
8.0366E+17,America/Denver
2.93373E+18,America/Denver
2.93373E+18,America/Denver
2.93373E+18,America/Denver
2.93373E+18,America/Denver
3.90023E+18,America/Denver
3.90023E+18,America/Denver
3.90023E+18,America/Denver
7.83208E+18,America/Denver
7.83208E+18,America/Denver
7.83208E+18,America/Denver
5.46433E+18,America/Denver
5.46433E+18,America/Denver
5.4311E+18,America/Denver
5.4311E+18,America/Denver
4.48451E+18,America/Denver
4.48451E+18,America/Denver
6.59261E+18,America/Denver
3.05842E+18,America/Denver
3.05842E+18,America/Denver
3.05842E+18,America/Denver
8.62548E+18,America/Denver
8.62548E+18,America/Denver
8.62548E+18,America/Denver
7.73398E+17,America/Denver
4.95353E+17,America/Denver
4.95353E+17,America/Denver
4.95353E+17,America/Denver
4.95353E+17,America/Denver
4.95353E+17,America/Denver
4.95353E+17,America/Denver
4.95353E+17,America/Denver
2.47514E+18,America/Denver
6.62658E+18,America/Denver
6.62658E+18,America/Denver
6.62658E+18,America/Denver
6.62658E+18,America/Denver
6.62658E+18,America/Denver
6.62658E+18,America/Denver
6.62658E+18,America/Denver
7.05403E+18,America/Denver
7.05403E+18,America/Denver
1.25129E+18,America/Denver
1.25129E+18,America/Denver
8.05628E+18,America/Denver
8.05628E+18,America/Denver
8.05628E+18,America/Denver
8.82337E+17,America/Denver
8.82337E+17,America/Denver
1.46524E+18,America/Denver
1.46524E+18,America/Denver
1.46524E+18,America/Denver
2.74615E+17,America/Denver
2.74615E+17,America/Denver
2.74615E+17,America/Denver
4.82887E+18,America/Denver
4.82887E+18,America/Denver
4.82887E+18,America/Denver
4.82887E+18,America/Denver
4.82887E+18,America/Denver
4.82887E+18,America/Denver
4.82887E+18,America/Denver
8.23362E+17,America/Denver
8.23362E+17,America/Denver
8.23362E+17,America/Denver
8.23362E+17,America/Denver
8.23362E+17,America/Denver
8.23362E+17,America/Denver
8.23362E+17,America/Denver
8.15035E+18,America/Denver
8.15035E+18,America/Denver
8.15035E+18,America/Denver
8.15035E+18,America/Denver
3.46563E+18,America/Denver
3.46563E+18,America/Denver
3.46563E+18,America/Denver
5.33409E+18,America/Denver
1.85905E+18,America/Denver
3.28349E+18,America/Denver
1.4922E+18,America/Denver
3.79265E+18,America/Denver
3.79265E+18,America/Denver
3.79265E+18,America/Denver
8.03109E+18,America/Denver
8.03109E+18,America/Denver
2.41966E+18,America/Denver
3.35565E+18,America/Denver
3.35565E+18,America/Denver
3.35565E+18,America/Denver
4.9685E+18,America/Denver
4.61482E+18,America/Denver
7.18616E+18,America/Denver
7.18616E+18,America/Denver
7.18616E+18,America/Denver
3.25156E+18,America/Denver
9.03114E+18,America/Denver
8.2568E+18,America/Denver
4.82618E+18,America/Denver
6.39386E+18,America/Denver
6.39386E+18,America/Denver
6.39386E+18,America/Denver
2.4299E+18,America/Denver
2.4299E+18,America/Denver
2.4299E+18,America/Denver
6.05337E+16,America/Denver
2.27326E+18,America/Denver
4.29665E+18,America/Denver
6.24385E+18,America/Denver
6.24385E+18,America/Denver
6.24385E+18,America/Denver
9.92372E+17,America/Denver
6.08368E+17,America/Denver
6.08368E+17,America/Denver
6.08368E+17,America/Denver
6.50746E+18,America/Denver
6.01361E+18,America/Denver
5.77939E+18,America/Denver
4.96593E+18,America/Denver
2.57148E+18,America/Denver
2.57148E+18,America/Denver
2.57148E+18,America/Denver
1.97989E+18,America/Denver
1.97989E+18,America/Denver
1.97989E+18,America/Denver
1.97989E+18,America/Denver
1.97989E+18,America/Denver
1.97989E+18,America/Denver
1.97989E+18,America/Denver
5.10182E+18,America/Denver
5.10182E+18,America/Denver
5.10182E+18,America/Denver
5.10182E+18,America/Denver
5.10182E+18,America/Denver
5.10182E+18,America/Denver
5.10182E+18,America/Denver
3.10794E+18,America/Denver
3.10794E+18,America/Denver
3.10794E+18,America/Denver
3.10794E+18,America/Denver
3.10794E+18,America/Denver
3.10794E+18,America/Denver
3.10794E+18,America/Denver
3.18832E+18,America/Denver
3.18832E+18,America/Denver
2.42394E+18,America/Denver
2.42394E+18,America/Denver
1.7438E+18,America/Denver
1.7438E+18,America/Denver
1.7438E+18,America/Denver
1.7438E+18,America/Denver
1.7438E+18,America/Denver
1.7438E+18,America/Denver
1.7438E+18,America/Denver
2.99044E+18,America/Denver
2.99044E+18,America/Denver
2.99044E+18,America/Denver
2.99044E+18,America/Denver
2.99044E+18,America/Denver
2.99044E+18,America/Denver
2.99044E+18,America/Denver
4.2719E+18,America/Denver
4.2719E+18,America/Denver
2.79869E+18,America/Denver
2.79869E+18,America/Denver
2.79869E+18,America/Denver
2.79869E+18,America/Denver
2.79869E+18,America/Denver
2.79869E+18,America/Denver
2.79869E+18,America/Denver
5.27461E+18,America/Denver
5.27461E+18,America/Denver
5.27461E+18,America/Denver
5.27461E+18,America/Denver
5.27461E+18,America/Denver
3.59677E+18,America/Denver
3.59677E+18,America/Denver
3.59677E+18,America/Denver
3.59677E+18,America/Denver
3.59677E+18,America/Denver
3.59677E+18,America/Denver
3.59677E+18,America/Denver
5.05996E+18,America/Denver
5.05996E+18,America/Denver
5.05996E+18,America/Denver
5.05996E+18,America/Denver
5.05996E+18,America/Denver
5.05996E+18,America/Denver
5.05996E+18,America/Denver
1.73084E+18,America/Denver
8.03933E+18,America/Denver
8.03933E+18,America/Denver
5.13864E+18,America/Denver
5.13864E+18,America/Denver
5.13864E+18,America/Denver
5.13864E+18,America/Denver
5.13864E+18,America/Denver
5.13864E+18,America/Denver
3.41791E+18,America/Denver
3.41791E+18,America/Denver
3.41791E+18,America/Denver
3.41791E+18,America/Denver
3.41791E+18,America/Denver
3.41791E+18,America/Denver
3.41791E+18,America/Denver
1.30115E+18,America/Denver
1.21434E+18,America/Denver
1.21434E+18,America/Denver
1.21434E+18,America/Denver
1.21434E+18,America/Denver
1.21434E+18,America/Denver
1.21434E+18,America/Denver
1.21434E+18,America/Denver
2.80571E+18,America/Denver
2.80571E+18,America/Denver
3.09739E+18,America/Denver
3.2483E+18,America/Denver
3.2483E+18,America/Denver
3.2483E+18,America/Denver
3.2483E+18,America/Denver
3.2483E+18,America/Denver
3.2483E+18,America/Denver
3.2483E+18,America/Denver
6.46863E+17,America/Denver
6.46863E+17,America/Denver
6.46863E+17,America/Denver
6.46863E+17,America/Denver
6.46863E+17,America/Denver
6.46863E+17,America/Denver
6.46863E+17,America/Denver
5.87875E+18,America/Denver
5.87875E+18,America/Denver
5.87875E+18,America/Denver
8.27028E+18,America/Denver
8.27028E+18,America/Denver
8.27028E+18,America/Denver
8.27028E+18,America/Denver
8.27028E+18,America/Denver
8.27028E+18,America/Denver
8.27028E+18,America/Denver
9.71075E+17,America/Denver
9.71075E+17,America/Denver
4.45422E+18,America/Denver
4.45422E+18,America/Denver
4.45422E+18,America/Denver
6.26842E+18,America/Denver
6.26842E+18,America/Denver
7.65879E+18,America/Denver
7.65879E+18,America/Denver
7.65879E+18,America/Denver
7.65879E+18,America/Denver
7.65879E+18,America/Denver
7.65879E+18,America/Denver
7.65879E+18,America/Denver
4.33628E+18,America/Denver
4.33628E+18,America/Denver
4.14684E+18,America/Denver
4.14684E+18,America/Denver
4.14684E+18,America/Denver
4.14684E+18,America/Denver
4.14684E+18,America/Denver
4.14684E+18,America/Denver
5.38641E+18,America/Denver
5.38641E+18,America/Denver
2.9794E+18,America/Denver
2.9794E+18,America/Denver
2.9794E+18,America/Denver
2.9794E+18,America/Denver
2.9794E+18,America/Denver
2.9794E+18,America/Denver
2.9794E+18,America/Denver
3.8481E+18,America/Denver
7.01203E+18,America/Denver
7.01203E+18,America/Denver
7.01203E+18,America/Denver
7.01203E+18,America/Denver
7.01203E+18,America/Denver
7.01203E+18,America/Denver
5.98724E+18,America/Denver
5.98724E+18,America/Denver
5.98724E+18,America/Denver
5.98724E+18,America/Denver
5.98724E+18,America/Denver
5.98724E+18,America/Denver
5.98724E+18,America/Denver
5.62137E+18,America/Denver
5.62137E+18,America/Denver
1.61783E+18,America/Denver
1.61783E+18,America/Denver
1.61783E+18,America/Denver
1.61783E+18,America/Denver
1.61783E+18,America/Denver
1.61783E+18,America/Denver
1.61783E+18,America/Denver
3.8271E+18,America/Denver
3.8271E+18,America/Denver
3.8271E+18,America/Denver
3.8271E+18,America/Denver
3.8271E+18,America/Denver
3.8271E+18,America/Denver
8.52552E+18,America/Denver
8.52552E+18,America/Denver
8.47327E+18,America/Denver
8.47327E+18,America/Denver
8.47327E+18,America/Denver
8.47327E+18,America/Denver
8.47327E+18,America/Denver
8.47327E+18,America/Denver
8.47327E+18,America/Denver
6.23884E+18,America/Denver
1.09948E+18,America/Denver
1.09948E+18,America/Denver
1.09948E+18,America/Denver
1.09948E+18,America/Denver
1.09948E+18,America/Denver
1.09948E+18,America/Denver
1.09948E+18,America/Denver
2.16253E+18,America/Denver
2.16253E+18,America/Denver
5.33689E+18,America/Denver
5.33689E+18,America/Denver
5.33689E+18,America/Denver
5.33689E+18,America/Denver
5.33689E+18,America/Denver
5.33689E+18,America/Denver
5.33689E+18,America/Denver
5.03906E+18,America/Denver
5.03906E+18,America/Denver
5.03906E+18,America/Denver
9.07832E+18,America/Denver
9.07832E+18,America/Denver
9.07832E+18,America/Denver
9.07832E+18,America/Denver
9.07832E+18,America/Denver
9.07832E+18,America/Denver
9.07832E+18,America/Denver
7.68422E+18,America/Denver
2.42786E+18,America/Denver
2.42786E+18,America/Denver
2.42786E+18,America/Denver
2.42786E+18,America/Denver
2.42786E+18,America/Denver
2.42786E+18,America/Denver
2.42786E+18,America/Denver
3.04111E+18,America/Denver
9.0372E+17,America/Denver
9.0372E+17,America/Denver
9.0372E+17,America/Denver
9.0372E+17,America/Denver
9.0372E+17,America/Denver
9.0372E+17,America/Denver
